Year Week,destination_state,Index YOY Change-Booking-Hotel
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Delaware,-1.032377383
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Colorado,-0.85483368
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Alaska,-1.094125455
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Florida,-0.736533793
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Arizona,-0.705188303
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Alabama,-0.739005811
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Florida,-0.821223407
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",California,-0.841213713
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Connecticut,-1.059600152
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Colorado,-0.942376968
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Georgia,-0.886116863
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Alabama,-0.856836009
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Delaware,-1.076489033
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Arizona,-0.797210284
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Arkansas,-1.105689305
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Alaska,-1.194122253
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Georgia,-0.896508583
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",California,-0.82201748
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Delaware,-1.064205504
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Connecticut,-1.072419629
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Arkansas,-1.136645976
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Colorado,-0.961963861
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Alaska,-1.198014554
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Florida,-0.838115367
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Alabama,-0.886419558
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Arizona,-0.823312882
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Alabama,-0.884154118
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Georgia,-0.910203025
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Alaska,-1.194297395
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Delaware,-1.079272301
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",California,-0.846712702
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Colorado,-0.987466786
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Florida,-0.867648293
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Arkansas,-1.137187635
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Connecticut,-1.079534581
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Arizona,-0.863316478
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Delaware,-1.029231827
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Arkansas,-1.080098065
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Connecticut,-1.082980281
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Alabama,-0.845195841
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Alaska,-1.213862758
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Arizona,-0.784049501
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",California,-0.813942494
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Colorado,-0.957820118
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Florida,-0.828354828
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Georgia,-0.876161278
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Delaware,-1.040630988
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",California,-0.80951831
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Georgia,-0.857391945
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Arizona,-0.763733475
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Arkansas,-1.085190295
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Alabama,-0.829687723
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Florida,-0.803199037
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Colorado,-0.935500846
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Connecticut,-1.075743064
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Alaska,-1.137268437
"Apr 27, 2020 to May 3, 2020 (Week 18)",Alaska,-1.140718694
"Apr 27, 2020 to May 3, 2020 (Week 18)",Delaware,-1.002750622
"Apr 27, 2020 to May 3, 2020 (Week 18)",Alabama,-0.720920879
"Apr 27, 2020 to May 3, 2020 (Week 18)",Arkansas,-1.029426241
"Apr 27, 2020 to May 3, 2020 (Week 18)",Arizona,-0.720617402
"Apr 27, 2020 to May 3, 2020 (Week 18)",Georgia,-0.798324889
"Apr 27, 2020 to May 3, 2020 (Week 18)",Colorado,-0.897499372
"Apr 27, 2020 to May 3, 2020 (Week 18)",California,-0.795890096
"Apr 27, 2020 to May 3, 2020 (Week 18)",Connecticut,-1.063537993
"Apr 27, 2020 to May 3, 2020 (Week 18)",Florida,-0.743658863
"May 4, 2020 to May 10, 2020 (Week 19)",Connecticut,-1.049550817
"May 4, 2020 to May 10, 2020 (Week 19)",Alaska,-1.082569613
"May 4, 2020 to May 10, 2020 (Week 19)",Florida,-0.654283224
"May 4, 2020 to May 10, 2020 (Week 19)",Colorado,-0.876190991
"May 4, 2020 to May 10, 2020 (Week 19)",Alabama,-0.646757482
"May 4, 2020 to May 10, 2020 (Week 19)",Arkansas,-0.947374738
"May 4, 2020 to May 10, 2020 (Week 19)",Georgia,-0.747379871
"May 4, 2020 to May 10, 2020 (Week 19)",Delaware,-0.957330194
"May 4, 2020 to May 10, 2020 (Week 19)",Arizona,-0.650223736
"May 4, 2020 to May 10, 2020 (Week 19)",California,-0.768292753
"May 11, 2020 to May 17, 2020 (Week 20)",Delaware,-0.906838806
