Year Week,destination_state,Index YOY Change-Search-Hotel
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Kentucky,-0.088213256
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Idaho,-0.102451829
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Maryland,-0.153539946
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Maine,-0.204188971
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Kentucky,-0.171816214
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Illinois,-0.149729597
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Louisiana,-0.096523454
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Iowa,-0.195375448
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Idaho,-0.20982968
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Kansas,-0.099136687
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Indiana,-0.109155625
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Hawaii,-0.376559681
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Idaho,-0.373485942
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Kansas,-0.380260875
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Kentucky,-0.356540414
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Louisiana,-0.419687638
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Maryland,-0.40395526
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Indiana,-0.394361476
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Maine,-0.494645005
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Iowa,-0.464289841
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Illinois,-0.432017565
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Hawaii,0.072460215
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Idaho,-0.847997157
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Maryland,-0.878483949
